Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2017,Normal value,Not Available,Proportion of domestic budget funded by domestic taxes,Units,MINECOFIN,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],Rwanda,Percent,62.4
2019,Normal value,Not Available,Proportion of domestic budget funded by domestic taxes,Units,MINECOFIN,Annual,National,Proportion of domestic budget funded by domestic taxes [17.1.2],Rwanda,Percent,67.0
