Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2016,A,_X,Percentage of citizen satisfaction in their participation in decision making,0,"RGB, CRC",A,N,_L_RW_160702_1,RW,PT,49.7
2017,A,_X,Percentage of citizen satisfaction in their participation in decision making,0,"RGB, CRC",A,N,_L_RW_160702_1,RW,PT,45.5
2018,A,_X,Percentage of citizen satisfaction in their participation in decision making,0,"RGB, CRC",A,N,_L_RW_160702_1,RW,PT,69.53
2019,A,_X,Percentage of citizen satisfaction in their participation in decision making,0,"RGB, CRC",A,N,_L_RW_160702_1,RW,PT,63.89
