Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Not Available,Regulatory capital to assets (%) - CAR,Units,"BNR, Annual Financial Stability Report",Annual,National,Regulatory capital to assets (%) [10.5.1],Rwanda,Percent,23.34
2018,Normal value,Not Available,Regulatory capital to assets (%) - CAR,Units,"BNR, Annual Financial Stability Report",Annual,National,Regulatory capital to assets (%) [10.5.1],Rwanda,Percent,25.5
2016,Normal value,Not Available,Regulatory Tier 1 capital to risk-weighted assets (%) - CAR Tier I,Units,"BNR, Annual Financial Stability Report",Annual,National,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],Rwanda,Percent,20.68
2018,Normal value,Not Available,Regulatory Tier 1 capital to risk-weighted assets (%) - CAR Tier I,Units,"BNR, Annual Financial Stability Report",Annual,National,Regulatory Tier 1 capital to risk-weighted assets (%) [10.5.1],Rwanda,Percent,20.84
2016,Normal value,Not Available,Non-performing loans net of provisions to capital (%),Units,"BNR, Annual Financial Stability Report",Annual,National,Non-performing loans net of provisions to capital (%) [10.5.1],Rwanda,Percent,17.05
2018,Normal value,Not Available,Non-performing loans net of provisions to capital (%),Units,"BNR, Annual Financial Stability Report",Annual,National,Non-performing loans net of provisions to capital (%) [10.5.1],Rwanda,Percent,10.97
2016,Normal value,Not Available,Non-performing loans to total gross loans (%),Units,"BNR, Annual Financial Stability Report",Annual,National,Non-performing loans to total gross loans (%) [10.5.1],Rwanda,Percent,7.56
2018,Normal value,Not Available,Non-performing loans to total gross loans (%),Units,"BNR, Annual Financial Stability Report",Annual,National,Non-performing loans to total gross loans (%) [10.5.1],Rwanda,Percent,6.4
2016,Normal value,Not Available,Return on assets (%),Units,"BNR, Annual Financial Stability Report",Annual,National,Return on assets (%) [10.5.1],Rwanda,Percent,2.62
2018,Normal value,Not Available,Return on assets (%),Units,"BNR, Annual Financial Stability Report",Annual,National,Return on assets (%) [10.5.1],Rwanda,Percent,2.8
2016,Normal value,Not Available,Liquid assets to short term liabilities (%),Units,"BNR, Annual Financial Stability Report",Annual,National,Liquid assets to short term liabilities (%) [10.5.1],Rwanda,Percent,111.87
2018,Normal value,Not Available,Liquid assets to short term liabilities (%),Units,"BNR, Annual Financial Stability Report",Annual,National,Liquid assets to short term liabilities (%) [10.5.1],Rwanda,Percent,129.55
2016,Normal value,Not Available,Net open position in foreign exchange to capital (%),Units,"BNR, Annual Financial Stability Report",Annual,National,Net open position in foreign exchange to capital (%) [10.5.1],Rwanda,Percent,-1.61
2018,Normal value,Not Available,Net open position in foreign exchange to capital (%),Units,"BNR, Annual Financial Stability Report",Annual,National,Net open position in foreign exchange to capital (%) [10.5.1],Rwanda,Percent,-9.09
