Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2014,Normal value,Not Available,Distribution of Households living in unplanned urban housing,Units,"EICV, NISR",Annual,National,Distribution of Households living in unplanned urban housing,Rwanda,Urban,Percent,62.6
2017,Normal value,Not Available,Distribution of Households living in unplanned urban housing,Units,"EICV, NISR",Annual,National,Distribution of Households living in unplanned urban housing,Rwanda,Urban,Percent,52.5
