From,To
OBS_STATUS,NATURE
NATURE,COMMENT_OBS
COMMENT_OBS,UNIT_MULT
UNIT_MULT,SOURCE_DETAIL
SOURCE_DETAIL,FREQ
FREQ,REPORTING_TYPE
REPORTING_TYPE,REF_AREA
REF_AREA,OCCUPATION
