Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2014,A,_X,Distribution of Households living in unplanned urban housing,0,"EICV, NISR",A,N,_L_RW_110101_1,RW,U,PT,62.6
2017,A,_X,Distribution of Households living in unplanned urban housing,0,"EICV, NISR",A,N,_L_RW_110101_1,RW,U,PT,52.5
