Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2020,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Creating electronic presentations with presentation software,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,,SKILL_ICTPST,PT,1.8
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Creating electronic presentations with presentation software,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,U,SKILL_ICTPST,PT,2.8
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Creating electronic presentations with presentation software,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,R,SKILL_ICTPST,PT,0.4
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Transferring files between a computer and other devices,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,,SKILL_ICTTRFF,PT,1.8
2020,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Transferring files between a computer and other devices,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,,SKILL_ICTTRFF,PT,3.3
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Transferring files between a computer and other devices,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,U,SKILL_ICTTRFF,PT,5.4
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills - ICT Skill: Transferring files between a computer and other devices,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,R,SKILL_ICTTRFF,PT,0.8
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills  - ICT Skill: Writing a computer program using a specialized programming language,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,,SKILL_ICTPRGM,PT,1.8
2020,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills  - ICT Skill: Writing a computer program using a specialized programming language,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,,SKILL_ICTPRGM,PT,0.9
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills  - ICT Skill: Writing a computer program using a specialized programming language,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,U,SKILL_ICTPRGM,PT,5.4
2017,A,_X,Proportion of youth and adults with information and communications technology (ICT) skills  - ICT Skill: Writing a computer program using a specialized programming language,0,"EICV, NISR",A,N,SE_ADT_ACTS,RW,R,SKILL_ICTPRGM,PT,0.8
