Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,_X,Volume of remittances (in United States dollars) as a proportion of total GDP,0,BNR,A,N,BX_TRF_PWKR,RW,USD,1.8
2016,A,_X,Volume of remittances (in United States dollars) as a proportion of total GDP,0,BNR,A,N,BX_TRF_PWKR,RW,USD,1.9
2017,A,_X,Volume of remittances (in United States dollars) as a proportion of total GDP,0,BNR,A,N,BX_TRF_PWKR,RW,USD,2.2
2018,A,_X,Volume of remittances (in United States dollars) as a proportion of total GDP,0,BNR,A,N,BX_TRF_PWKR,RW,USD,2.6
2019,A,_X,Volume of remittances (in United States dollars) as a proportion of total GDP,0,BNR,A,N,BX_TRF_PWKR,RW,USD,2.5
