Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2016,A,_X,No 21/2016 of 20/05/2016 Law relating to human reproductive health,0,MIGEPROF and GMO,A,N,_L_RW_050602_1,RW,BOOL,1
2017,A,_X,No 21/2016 of 20/05/2016 Law relating to human reproductive health,0,MIGEPROF and GMO,A,N,_L_RW_050602_1,RW,BOOL,1
2018,A,_X,No 21/2016 of 20/05/2016 Law relating to human reproductive health,0,MIGEPROF and GMO,A,N,_L_RW_050602_1,RW,BOOL,1
2019,A,_X,No 21/2016 of 20/05/2016 Law relating to human reproductive health,0,MIGEPROF and GMO,A,N,_L_RW_050602_1,RW,BOOL,1
