Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Not Available,Age and sex distribution of detected victims of trafficking in persons (%),Units,MINIJUST,Annual,National,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],Rwanda,Percent,0.57
2017,Normal value,Not Available,Age and sex distribution of detected victims of trafficking in persons (%),Units,MINIJUST,Annual,National,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],Rwanda,Percent,0.47
2018,Normal value,Not Available,Age and sex distribution of detected victims of trafficking in persons (%),Units,MINIJUST,Annual,National,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],Rwanda,Percent,0.74
2019,Normal value,Not Available,Age and sex distribution of detected victims of trafficking in persons (%),Units,MINIJUST,Annual,National,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],Rwanda,Percent,0.51
2020,Normal value,Not Available,Age and sex distribution of detected victims of trafficking in persons (%),Units,MINIJUST,Annual,National,Age and sex distribution of detected victims of trafficking in persons (%) [16.2.2],Rwanda,Percent,0.72
2016,Normal value,Not Available,Detected victims of human trafficking (number),Units,MINIJUST,Annual,National,Detected victims of human trafficking (number) [16.2.2],Rwanda,Number,66.0
2017,Normal value,Not Available,Detected victims of human trafficking (number),Units,MINIJUST,Annual,National,Detected victims of human trafficking (number) [16.2.2],Rwanda,Number,55.0
2018,Normal value,Not Available,Detected victims of human trafficking (number),Units,MINIJUST,Annual,National,Detected victims of human trafficking (number) [16.2.2],Rwanda,Number,89.0
2019,Normal value,Not Available,Detected victims of human trafficking (number),Units,MINIJUST,Annual,National,Detected victims of human trafficking (number) [16.2.2],Rwanda,Number,63.0
2020,Normal value,Not Available,Detected victims of human trafficking (number),Units,MINIJUST,Annual,National,Detected victims of human trafficking (number) [16.2.2],Rwanda,Number,91.0
