Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2000,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,-6.6
2001,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,-7.5
2002,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,-2.4
2003,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,5.8
2004,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,9.0
2005,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,20.1
2006,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,10.1
2007,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,19.5
2008,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,24.0
2009,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,6.8
2010,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,5.3
2011,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,9.6
2012,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,8.3
2013,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,-0.3
2014,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,2.9
2015,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,1.3
2016,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,-0.7
2017,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,4.0
2018,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,1.7
2019,A,_X,Annual growth rate of real GDP per capita,0,"National Accounts, NISR",A,N,NY_GDP_PCAP,RW,PT,5.0
