Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2016,Normal value,Not Available,Proportion of women in managerial positions,Units,"LFS, NISR",Annual,National,Proportion of women in managerial positions [5.5.2],Rwanda,Female,Percent,26.9
2017,Normal value,Not Available,Proportion of women in managerial positions,Units,"LFS, NISR",Annual,National,Proportion of women in managerial positions [5.5.2],Rwanda,Female,Percent,29.5
2018,Normal value,Not Available,Proportion of women in managerial positions,Units,"LFS, NISR",Annual,National,Proportion of women in managerial positions [5.5.2],Rwanda,Female,Percent,34.1
2019,Normal value,Not Available,Proportion of women in managerial positions,Units,"LFS, NISR",Annual,National,Proportion of women in managerial positions [5.5.2],Rwanda,Female,Percent,32.5
