Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Not Available,External Debt in nominal terms,Units,MINECOFIN,Annual,National,External Debt in nominal terms,Rwanda,Percent,7
2017,Normal value,Not Available,External Debt in nominal terms,Units,MINECOFIN,Annual,National,External Debt in nominal terms,Rwanda,Percent,7
2018,Normal value,Not Available,External Debt in nominal terms,Units,MINECOFIN,Annual,National,External Debt in nominal terms,Rwanda,Percent,8
