Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Not Available,Unsentenced detainees as a proportion of overall prison population,Units,"MINIJUST, JRLOS",Annual,National,Unsentenced detainees as a proportion of overall prison population [16.3.2],Rwanda,Percent,5
2016,Normal value,Not Available,Unsentenced detainees as a proportion of overall prison population,Units,"MINIJUST, JRLOS",Annual,National,Unsentenced detainees as a proportion of overall prison population [16.3.2],Rwanda,Percent,6
2017,Normal value,Not Available,Unsentenced detainees as a proportion of overall prison population,Units,"MINIJUST, JRLOS",Annual,National,Unsentenced detainees as a proportion of overall prison population [16.3.2],Rwanda,Percent,6
2018,Normal value,Not Available,Unsentenced detainees as a proportion of overall prison population,Units,"MINIJUST, JRLOS",Annual,National,Unsentenced detainees as a proportion of overall prison population [16.3.2],Rwanda,Percent,9
2019,Normal value,Not Available,Unsentenced detainees as a proportion of overall prison population,Units,"MINIJUST, JRLOS",Annual,National,Unsentenced detainees as a proportion of overall prison population [16.3.2],Rwanda,Percent,14
2015,Normal value,Not Available,Unsentenced detainees (number),Units,"MINIJUST, JRLOS",Annual,National,Unsentenced detainees (number) [16.3.2],Rwanda,Number,2543
2016,Normal value,Not Available,Unsentenced detainees (number),Units,"MINIJUST, JRLOS",Annual,National,Unsentenced detainees (number) [16.3.2],Rwanda,Number,3275
2017,Normal value,Not Available,Unsentenced detainees (number),Units,"MINIJUST, JRLOS",Annual,National,Unsentenced detainees (number) [16.3.2],Rwanda,Number,3715
2018,Normal value,Not Available,Unsentenced detainees (number),Units,"MINIJUST, JRLOS",Annual,National,Unsentenced detainees (number) [16.3.2],Rwanda,Number,6373
2019,Normal value,Not Available,Unsentenced detainees (number),Units,"MINIJUST, JRLOS",Annual,National,Unsentenced detainees (number) [16.3.2],Rwanda,Number,10291
