Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Not Available,Mail volume (tonne kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Mail volume (tonne kilometres) [9.1.2],Rwanda,Metric Tons,304.96
2016,Normal value,Not Available,Mail volume (tonne kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Mail volume (tonne kilometres) [9.1.2],Rwanda,Metric Tons,249.86
2017,Normal value,Not Available,Mail volume (tonne kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Mail volume (tonne kilometres) [9.1.2],Rwanda,Metric Tons,266.55
2018,Normal value,Not Available,Mail volume (tonne kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Mail volume (tonne kilometres) [9.1.2],Rwanda,Metric Tons,339.7
2019,Normal value,Not Available,Mail volume (tonne kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Mail volume (tonne kilometres) [9.1.2],Rwanda,Metric Tons,254.87
2015,Normal value,Not Available,Freight volume (tonne kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Freight volume (tonne kilometres) [9.1.2],Rwanda,Metric Tons,7577.46
2016,Normal value,Not Available,Freight volume (tonne kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Freight volume (tonne kilometres) [9.1.2],Rwanda,Metric Tons,6660.87
2017,Normal value,Not Available,Freight volume (tonne kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Freight volume (tonne kilometres) [9.1.2],Rwanda,Metric Tons,8226.09
2018,Normal value,Not Available,Freight volume (tonne kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Freight volume (tonne kilometres) [9.1.2],Rwanda,Metric Tons,10732.41
2019,Normal value,Not Available,Freight volume (tonne kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Freight volume (tonne kilometres) [9.1.2],Rwanda,Metric Tons,12094.79
2015,Normal value,Not Available,Passenger volume (passenger kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Passenger volume (passenger kilometres) [9.1.2],Rwanda,Number,641817.0
2016,Normal value,Not Available,Passenger volume (passenger kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Passenger volume (passenger kilometres) [9.1.2],Rwanda,Number,706075.0
2017,Normal value,Not Available,Passenger volume (passenger kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Passenger volume (passenger kilometres) [9.1.2],Rwanda,Number,825585.0
2018,Normal value,Not Available,Passenger volume (passenger kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Passenger volume (passenger kilometres) [9.1.2],Rwanda,Number,977631.0
2019,Normal value,Not Available,Passenger volume (passenger kilometres),Units,Rwanda Aviation Company (RAC),Annual,National,Passenger volume (passenger kilometres) [9.1.2],Rwanda,Number,1145867.0
