Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Not Available,Volume of remittances (in United States dollars) as a proportion of total GDP,Units,BNR,Annual,National,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],Rwanda,USD,1.8
2016,Normal value,Not Available,Volume of remittances (in United States dollars) as a proportion of total GDP,Units,BNR,Annual,National,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],Rwanda,USD,1.9
2017,Normal value,Not Available,Volume of remittances (in United States dollars) as a proportion of total GDP,Units,BNR,Annual,National,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],Rwanda,USD,2.2
2018,Normal value,Not Available,Volume of remittances (in United States dollars) as a proportion of total GDP,Units,BNR,Annual,National,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],Rwanda,USD,2.6
2019,Normal value,Not Available,Volume of remittances (in United States dollars) as a proportion of total GDP,Units,BNR,Annual,National,Volume of remittances (in United States dollars) as a proportion of total GDP [17.3.2],Rwanda,USD,2.5
