Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2019,Normal value,Not Available,Fixed broadband subscriptions per 100 inhabitants,Units,RURA,Annual,National,Fixed broadband subscriptions per 100 inhabitants [17.6.1],Rwanda,Percent,0.2
2019,Normal value,Not Available,Fixed broadband subscriptions (number),Units,RURA,Annual,National,Fixed broadband subscriptions (number) [17.6.1],Rwanda,Percent,8885.0
