Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Not Available,Total government revenue as a proportion of GDP,Units,MINECOFIN,Annual,National,Total government revenue as a proportion of GDP [17.1.1],Rwanda,Percent,22.9
2018,Normal value,Not Available,Total government revenue as a proportion of GDP,Units,MINECOFIN,Annual,National,Total government revenue as a proportion of GDP [17.1.1],Rwanda,Percent,24.1
