Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2016,Normal value,Not Available,Exports goods and services in Million USD,Units,MINECOFIN,Annual,National,Exports goods and services in Million USD,Rwanda,USD,1534.4
2017,Normal value,Not Available,Exports goods and services in Million USD,Units,MINECOFIN,Annual,National,Exports goods and services in Million USD,Rwanda,USD,1979.9
2018,Normal value,Not Available,Exports goods and services in Million USD,Units,MINECOFIN,Annual,National,Exports goods and services in Million USD,Rwanda,USD,2039.2
