Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2017,Normal value,Not Available,Percentage of households with internet access,Units,"EICV, NISR",Annual,National,Percentage of households with internet access,Rwanda,Percent,17.2
2020,Normal value,Not Available,Percentage of households with internet access,Units,"EICV, NISR",Annual,National,Percentage of households with internet access,Rwanda,Percent,23.8
