Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Education level,UNIT_MEASURE,Value
2014,Normal value,Not Available,Literacy rate of children in P2,Units,"REB, Learning Achievement in Rwanda schools (2016 through LARS II and 2018)",Annual,National,Literacy rate of children in P2,Rwanda,,"Some primary education, grades 2 or 3",Percent,45.3
2014,Normal value,Not Available,Numeracy rate of children in P2,Units,"REB, Learning Achievement in Rwanda schools (2016 through LARS II and 2018)",Annual,National,Numeracy rate of children in P2,Rwanda,,"Some primary education, grades 2 or 3",Percent,32.9
2018,Normal value,Not Available,Literacy rate of children in P3,Units,"REB, Learning Achievement in Rwanda schools (2016 through LARS II and 2018)",Annual,National,Literacy rate of children in P3,Rwanda,,"Some primary education, grades 2 or 3",Percent,54.9
2018,Normal value,Not Available,Literacy rate of children in P3,Units,"REB, Learning Achievement in Rwanda schools (2016 through LARS II and 2018)",Annual,National,Literacy rate of children in P3,Rwanda,Male,"Some primary education, grades 2 or 3",Percent,52.2
2018,Normal value,Not Available,Literacy rate of children in P3,Units,"REB, Learning Achievement in Rwanda schools (2016 through LARS II and 2018)",Annual,National,Literacy rate of children in P3,Rwanda,Female,"Some primary education, grades 2 or 3",Percent,56.4
2018,Normal value,Not Available,Numeracy rate of children in P3,Units,"REB, Learning Achievement in Rwanda schools (2016 through LARS II and 2018)",Annual,National,Numeracy rate of children in P3,Rwanda,,"Some primary education, grades 2 or 3",Percent,40.7
2018,Normal value,Not Available,Numeracy rate of children in P3,Units,"REB, Learning Achievement in Rwanda schools (2016 through LARS II and 2018)",Annual,National,Numeracy rate of children in P3,Rwanda,Male,"Some primary education, grades 2 or 3",Percent,40.3
2018,Normal value,Not Available,Numeracy rate of children in P3,Units,"REB, Learning Achievement in Rwanda schools (2016 through LARS II and 2018)",Annual,National,Numeracy rate of children in P3,Rwanda,Female,"Some primary education, grades 2 or 3",Percent,41.3
2014,Normal value,Not Available,Literacy rate of children in P5,Units,"REB, Learning Achievement in Rwanda schools (2016 through LARS II and 2018)",Annual,National,Literacy rate of children in P5,Rwanda,,Primary education,Percent,44.1
2014,Normal value,Not Available,Numeracy rate of children in P5,Units,"REB, Learning Achievement in Rwanda schools (2016 through LARS II and 2018)",Annual,National,Numeracy rate of children in P5,Rwanda,,Primary education,Percent,38.3
