Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2017,Normal value,Not Available,Primary government expenditures as a proportion of original approved budget,Units,"MINECOFIN, Budget Finance Law",Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],Rwanda,Percent,47.2
2018,Normal value,Not Available,Primary government expenditures as a proportion of original approved budget,Units,"MINECOFIN, Budget Finance Law",Annual,National,Primary government expenditures as a proportion of original approved budget [16.6.1],Rwanda,Percent,49.0
