Year,OBS_STATUS,NATURE,COMMENT_OBS,UNIT_MULT,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,_X,"Number of automated teller machines (ATMs) per 100,000 adults",0,"BNR, Annual Report",A,N,FB_ATM_TOTL,RW,PER_100000_POP,5.8
2016,A,_X,"Number of automated teller machines (ATMs) per 100,000 adults",0,"BNR, Annual Report",A,N,FB_ATM_TOTL,RW,PER_100000_POP,6.0
2017,A,_X,"Number of automated teller machines (ATMs) per 100,000 adults",0,"BNR, Annual Report",A,N,FB_ATM_TOTL,RW,PER_100000_POP,5.9
2018,A,_X,"Number of automated teller machines (ATMs) per 100,000 adults",0,"BNR, Annual Report",A,N,FB_ATM_TOTL,RW,PER_100000_POP,5.4
2019,A,_X,"Number of automated teller machines (ATMs) per 100,000 adults",0,"BNR, Annual Report",A,N,FB_ATM_TOTL,RW,PER_100000_POP,5.3
2015,A,_X,"Number of commercial bank branches per 100,000 adults",0,"BNR, Annual Report",A,N,FB_CBK_BRCH,RW,PER_100000_POP,8.2
2016,A,_X,"Number of commercial bank branches per 100,000 adults",0,"BNR, Annual Report",A,N,FB_CBK_BRCH,RW,PER_100000_POP,8.2
2017,A,_X,"Number of commercial bank branches per 100,000 adults",0,"BNR, Annual Report",A,N,FB_CBK_BRCH,RW,PER_100000_POP,7.4
2018,A,_X,"Number of commercial bank branches per 100,000 adults",0,"BNR, Annual Report",A,N,FB_CBK_BRCH,RW,PER_100000_POP,7.4
2019,A,_X,"Number of commercial bank branches per 100,000 adults",0,"BNR, Annual Report",A,N,FB_CBK_BRCH,RW,PER_100000_POP,6.9
