Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2017,Normal value,Not Available,Manufacturing employment as a proportion of total employment,Units,"LFS, NISR",Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Rwanda,Percent,5.3
2018,Normal value,Not Available,Manufacturing employment as a proportion of total employment,Units,"LFS, NISR",Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Rwanda,Percent,6.4
2019,Normal value,Not Available,Manufacturing employment as a proportion of total employment,Units,"LFS, NISR",Annual,National,Manufacturing employment as a proportion of total employment [9.2.2],Rwanda,Percent,6.4
