Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Not Available,Nile Basin initiative,Units,RWFA,Annual,National,Nile Basin initiative,Rwanda,Percent,100
2015,Normal value,Not Available,Congo Basin,Units,RWFA,Annual,National,Congo Basin,Rwanda,Percent,100
