Year,Observation status,Nature of data points,Observation-level footnotes,Unit multiplier,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2013,Normal value,Not Available,Death rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Death rate due to road traffic injuries [3.6.1],Rwanda,"Per 100,000 population",2.9
2014,Normal value,Not Available,Death rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Death rate due to road traffic injuries [3.6.1],Rwanda,"Per 100,000 population",3.3
2015,Normal value,Not Available,Death rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Death rate due to road traffic injuries [3.6.1],Rwanda,"Per 100,000 population",5.2
2016,Normal value,Not Available,Death rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Death rate due to road traffic injuries [3.6.1],Rwanda,"Per 100,000 population",5.1
2017,Normal value,Not Available,Death rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Death rate due to road traffic injuries [3.6.1],Rwanda,"Per 100,000 population",4.6
2018,Normal value,Not Available,Death rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Death rate due to road traffic injuries [3.6.1],Rwanda,"Per 100,000 population",4.9
2019,Normal value,Not Available,Death rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Death rate due to road traffic injuries [3.6.1],Rwanda,"Per 100,000 population",5.4
2013,Normal value,Not Available,Number of deaths rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Rwanda,Number,315.0
2014,Normal value,Not Available,Number of deaths rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Rwanda,Number,366.0
2015,Normal value,Not Available,Number of deaths rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Rwanda,Number,351.0
2016,Normal value,Not Available,Number of deaths rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Rwanda,Number,593.0
2017,Normal value,Not Available,Number of deaths rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Rwanda,Number,549.0
2018,Normal value,Not Available,Number of deaths rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Rwanda,Number,597.0
2019,Normal value,Not Available,Number of deaths rate due to road traffic injuries,Units,"NISR, Statistical Yearbook",Annual,National,Number of deaths rate due to road traffic injuries [3.6.1],Rwanda,Number,673.0
